x,y
0.0000000000,0.0000000000
0.0100000000,-0.0000994751
0.0200000000,-0.0003957357
0.0300000000,-0.0008853783
0.0400000000,-0.0015647829
0.0500000000,-0.0024301016
0.0600000000,-0.0034772459
0.0700000000,-0.0047018748
0.0800000000,-0.0060993815
0.0900000000,-0.0076648802
0.1000000000,-0.0093931918
0.1100000000,-0.0112788300
0.1200000000,-0.0133159853
0.1300000000,-0.0154985102
0.1400000000,-0.0178199022
0.1500000000,-0.0202732868
0.1600000000,-0.0228513994
0.1700000000,-0.0255465667
0.1800000000,-0.0283506873
0.1900000000,-0.0312552104
0.2000000000,-0.0342511149
0.2100000000,-0.0373288868
0.2200000000,-0.0404784951
0.2300000000,-0.0436893673
0.2400000000,-0.0469503634
0.2500000000,-0.0502497487
0.2600000000,-0.0535751654
0.2700000000,-0.0569136025
0.2800000000,-0.0602513650
0.2900000000,-0.0635740413
0.3000000000,-0.0668664693
0.3100000000,-0.0701127010
0.3200000000,-0.0732959659
0.3300000000,-0.0763986330
0.3400000000,-0.0794021716
0.3500000000,-0.0822871100
0.3600000000,-0.0850329947
0.3700000000,-0.0876183467
0.3800000000,-0.0900206184
0.3900000000,-0.0922161489
0.4000000000,-0.0941801191
0.4100000000,-0.0958865072
0.4200000000,-0.0973080437
0.4300000000,-0.0984161672
0.4400000000,-0.0991809816
0.4500000000,-0.0995712151
0.4600000000,-0.0995541806
0.4700000000,-0.0990957407
0.4800000000,-0.0981602748
0.4900000000,-0.0967106526
0.5000000000,-0.0947082125
0.5100000000,-0.0921127469
0.5200000000,-0.0888824968
0.5300000000,-0.0849741545
0.5400000000,-0.0803428795
0.5500000000,-0.0749423262
0.5600000000,-0.0687246889
0.5700000000,-0.0616407637
0.5800000000,-0.0536400343
0.5900000000,-0.0446707836
0.6000000000,-0.0346802377
0.6100000000,-0.0236147511
0.6200000000,-0.0114200412
0.6300000000,0.0019585136
0.6400000000,0.0165754951
0.6500000000,0.0324849658
0.6600000000,0.0497398588
0.6700000000,0.0683912041
0.6800000000,0.0884871475
0.6900000000,0.1100717125
0.7000000000,0.1331832442
0.7100000000,0.1578524679
0.7200000000,0.1841000935
0.7300000000,0.2119338920
0.7400000000,0.2413451891
0.7500000000,0.2723047436
0.7600000000,0.3047580313
0.7700000000,0.3386200426
0.7800000000,0.3737698297
0.7900000000,0.4100452258
0.8000000000,0.4472383908
0.8100000000,0.4850931039
0.8200000000,0.5233049545
0.8300000000,0.5615256813
0.8400000000,0.5993727253
0.8500000000,0.6364444673
0.8600000000,0.6723405669
0.8700000000,0.7066854885
0.8800000000,0.7391520842
0.8900000000,0.7694815407
0.9000000000,0.7974964491
0.9100000000,0.8231051901
0.9200000000,0.8462977431
0.9300000000,0.8671347167
0.9400000000,0.8857323518
0.9500000000,0.9022463135
0.9600000000,0.9168565107
0.9700000000,0.9297543193
0.9800000000,0.9411327717
0.9900000000,0.9511796733
1.0000000000,0.9600732617
1.0100000000,0.9679798865
1.0200000000,0.9750531838
1.0300000000,0.9814342926
1.0400000000,0.9872527549
1.0500000000,0.9926278360
1.0600000000,0.9976700871
1.0700000000,1.0024830360
1.0800000000,1.0071649413
1.0900000000,1.0118105870
1.1000000000,1.0165131171
1.1100000000,1.0213659380
1.1200000000,1.0264647309
1.1300000000,1.0319096379
1.1400000000,1.0378077074
1.1500000000,1.0442757053
1.1600000000,1.0514434366
1.1700000000,1.0594577604
1.1800000000,1.0684875374
1.1900000000,1.0787298177
1.2000000000,1.0904176558
1.2100000000,1.1038300154
1.2200000000,1.1193042453
1.2300000000,1.1372514512
1.2400000000,1.1581744262
1.2500000000,1.1826859062
1.2600000000,1.2115201060
1.2700000000,1.2455195059
1.2800000000,1.2855567881
1.2900000000,1.3323185321
1.3000000000,1.3858664951
1.3100000000,1.4450320712
1.3200000000,1.5071435548
1.3300000000,1.5689192742
1.3400000000,1.6284457673
1.3500000000,1.6867945227
1.3600000000,1.7487731099
1.3700000000,1.8242946061
1.3800000000,1.9284993495
1.3900000000,2.0524209951
1.4000000000,2.1454467027
1.4100000000,2.2138014593
1.4200000000,2.3010625931
1.4300000000,2.4546545635
1.4400000000,2.5619302478
1.4500000000,2.6841197982
1.4600000000,2.8423980500
1.4700000000,3.0005285077
1.4800000000,3.1577143882
1.4900000000,3.3465614914
1.5000000000,3.5500178641
